,upload_date,comments,likes,caption,hashtags,location,shortcode,video_url,video_view_count,tagged_users
61,2020-09-30 14:50:55,69,13264,That one time we had a dinner date in a vineyard... watch the bts of us trying to capture Instagram content here in my new vlog (link in bio),[],,CFxXg9ejnMl,https://instagram.fybz2-1.fna.fbcdn.net/v/t50.2886-16/120552514_330164158061841_7599606050898587313_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcy5kZWZhdWx0IiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fybz2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=dWyZgf1DdpYAX-V0gax&vs=17894704444618994_2484818640&_nc_vs=HBksFQAYJEdFSjhMd2NSM1Z0VlNDd0JBTEV1dUZod09YZHBicV9FQUFBRhUAAsgBABUAGCRHSzdMTGdleWNFRThWNmdBQUpodnJkdFFJWE1VYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMBUAACbk6bq08cjJPxUCKAJDMywXQCMhysCDEm8YEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=481ecb4070&oe=60232D80&oh=662d0b14c7a69535cfb14d7f4c3facdd,90611.0,[]
62,2020-09-29 16:56:42,143,36914,Last weekend we hiked up to this swing with a bottle of champagne to  watch the sun set on @zackkalter’s birthday. These photos were taken right before I surprised him with his birthday gift! Link in my bio to watch it all happen in my new vlog 🌳📷,[],Carmel Valley Ranch,CFvBI8yjw4Z,,,"['zackkalter', 'carmelvranch']"
63,2020-09-24 20:19:24,141,34196,Find the places that make you “!!!!” inside 🌲 @ventanabigsur,[],Ventana Big Sur,CFigXG-jWHf,,,['ventanabigsur']
64,2020-09-23 21:59:50,216,47313,New YouTube video! I put together 7 outfits for Fall and @zackkalter judged and rated each one (being the renowned fashion expert that he is) 🍁 link in bio to watch!,[],Ventana Big Sur,CFgHD6EjetL,,,[]
65,2020-09-22 16:52:54,205,55679,"Today is our 5 year anniversary, so here are 5 photos of us being cheesy lovebirds at @ventanabigsur. (Last photo most accurately depicts our current mood) 🌲❣️ I love you @zackkalter",[],Ventana Big Sur,CFc_JAdDebC,,,['zackkalter']
66,2020-09-21 22:15:45,181,42679,"Next stop, BIG SUR 🛣🌲☕️",[],"Big Sur, California",CFa_StOjyoq,,,[]
67,2020-09-20 19:35:34,294,56968,Dinner in a vineyard check 🥗🍇🍷,[],Carmel Valley Ranch,CFYIKjOjKxy,,,"['realisationpar', 'carmelvranch']"
68,2020-09-19 15:09:36,136,43568,"Happy birthday to my best friend and my love. Here’s to growing older but feeling young, and having just as much fun on our adventures as we do being couch potatoes. And picnic dinners in the middle of vineyards. Thank you to @carmelvranch for being the perfect escape for us to celebrate! 🍇 @zackkalter",[],Carmel Valley Ranch,CFVE7r8jGWB,,,"['zackkalter', 'carmelvranch']"
69,2020-09-16 16:47:39,160,31142,"Oh hey didn’t see ya there - just warming up for my @pvolve session, today I chose “30 Minute Abs & Lower Body Sculpt” led by trainer/founder @stephenpasterino. Even as things (sorta) open back up I still find myself gravitating toward the P.volve home workouts that I’ve been doing for years now. I keep coming back because P.volve’s focused movements connect my mind to my body to target and activate otherwise neglected muscles. It feels GOOD. Discount code: HELEN for 10% off",[],"West Hollywood, California",CFNhxODjjyE,,,['pvolve']
70,2020-09-14 18:32:21,160,32157,Reminder to do more park picnics 🌳,[],,CFIkKY5j8qY,,,"['thepangaia', 'zackkalter']"
71,2020-09-13 17:43:23,208,30985,My every day makeup look - featuring a little insight on how I’m feeling more confident *without* makeup these days + how I cover my scars / breakouts - is now up on my YouTube! Link in bio 💄,[],,CFF5wzdj-kR,,,[]
72,2020-09-11 15:22:27,114,21890,"I’m sensitive. So are my teeth. Haha 😬 which is why beyond just brushing my teeth I haven’t found an effective whitening method that doesn’t give me excruciating pain, until @Colgate dropped this little number. This product claims to remove 15 years of teeth stains in just 1 week when used as directed and I put it to the test... and wouldn’t be sharing it with you guys here if it didn’t work. Swipe to see it in action! #ColgatePartner #WhiteningThatWorks","['ColgatePartner', 'WhiteningThatWorks']",,CFAgC1-jhpk,https://instagram.fybz2-2.fna.fbcdn.net/v/t50.2886-16/119150048_717848248811776_224421314185494949_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jYXJvdXNlbF9pdGVtLmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fybz2-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=K0-_AcASivcAX_vzehW&vs=17866277354027137_3492787099&_nc_vs=HBksFQAYJEdPQVZHZ2NBZ2Q4UjRZd0NBS1dCRFFqLVRSMERia1lMQUFBRhUAAsgBABUAGCRHSHZ4RkFkVzFMc2t3TG9MQURMQnNaNFVLYlI4YmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMBUAACaClfyUmtK8PxUCKAJDMywXQDMiDEm6XjUYEmRhc2hfYmFzZWxpbmVfMV92MREAde4HAA%3D%3D&_nc_rid=6ad4a42a91&oe=602384B5&oh=41a018d2a379097c06cce34448dd9a78,57617.0,['colgate']
73,2020-09-10 17:51:42,153,31584,Direction is more important than speed 🤍,[],,CE-MVF9jmkV,,,['mondayswimwear']
74,2020-09-08 15:04:39,152,18916,Home sweet home ☁️ Full house tour video link in my bio  #housetour,['housetour'],,CE4vmVyjuP8,https://instagram.fybz2-1.fna.fbcdn.net/v/t50.2886-16/118868122_1528044250735585_7722265105166615170_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcy5kZWZhdWx0IiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fybz2-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=V7wjZd1i0kUAX9LhvHw&vs=17877956059821857_385155362&_nc_vs=HBksFQAYJEdKcklGUWZoSThTR3YyMEZBSUxDMmVZeS15cHJicV9FQUFBRhUAAsgBABUAGCRHSXd2RndkSjEtQm1Zd2dGQUVfSTBUSmN1bHgzYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMBUAACbC292NgPrBPxUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=263ed4b424&oe=602397B4&oh=6ff54f3efc894821c6e1cd8685d64a6b,191450.0,[]
75,2020-09-07 17:39:54,218,52651,"4 years later, I finally filmed a HOUSE TOUR! Link in bio to watch 🛋",[],"Los Angeles, California",CE2cmChDKrv,,,[]
76,2020-09-04 13:59:00,322,51298,Can you tell I haven’t had a haircut since March... couldn’t even fit all of my hair in this photo! My new fave trick for keeping my hair looking healthy and SOFT is the @briogeo kiwi + avocado mega moisture superfood mask. I’ve been using it a few times weekly in place of conditioning and it makes my hair feel so smooth and soft... and like it hasn’t been quite so long since I’ve been in a salon.,[],,CEuU7evD-Fp,,,['briogeo']
77,2020-09-03 13:59:35,1722,45153,"Last summer was good enough to count for this summer too. @zackkalter 
Check out the video I made on how we travel for work, linked in my bio! Oh and subscribe too, so you don’t miss my new video this weekend!",[],,CErwJN3jBmP,https://instagram.fybz2-2.fna.fbcdn.net/v/t50.2886-16/118791866_337952953997681_5507758598777696027_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcy5kZWZhdWx0IiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fybz2-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=TImWoy0w9TUAX_UIYcd&vs=18103787032199085_375509114&_nc_vs=HBksFQAYJEdMcWVGQWR4R2NiTlhUTUJBQnR2djZSRGZXOU1icV9FQUFBRhUAAsgBABUAGCRHT1ViRWdmMGR4cFl2eUVDQVBZT0V1NmtIUndOYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMBUAACbakJG6i9OoQBUCKAJDMywXQC4AAAAAAAAYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=a05ed4b72b&oe=60236E19&oh=cd66e637fa0a5e53ce989e7e16f049b6,394537.0,[]
78,2020-09-02 12:20:34,248,38129,Oh hey September didn’t see ya there,[],,CEpAEz9jk1d,,,[]
79,2020-08-31 17:20:13,159,30093,"We thought we lost all this footage from Italy last summer and as I was diving through the depths of Zack’s hard drives this week sourcing footage for my YouTube I FOUND IT. We filmed all these clips vertically for some reason, so Reels it is. Tap the link in my bio to watch my new YouTube video on how we came to #travel for work! Song is @tourist - Elixir",['travel'],,CEkYwGajXus,https://instagram.fybz2-2.fna.fbcdn.net/v/t50.2886-16/118479715_114753576881285_6553030065556220254_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcy5kZWZhdWx0IiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fybz2-2.fna.fbcdn.net&_nc_cat=105&_nc_ohc=j4DuSAAtUxUAX97yZDh&vs=17892975766609417_4108351669&_nc_vs=HBksFQAYJEdHUGJEd2VGekM4bVhtZ0FBRjdwN2dzZ0N2RmFicV9FQUFBRhUAAsgBABUAGCRHSDFxRUFlejdrRWVlU1VCQUpMRXN6Z2p6Zk1pYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMBUAACaSi%2FLGoeTIPxUCKAJDMywXQC2qfvnbItEYEmRhc2hfYmFzZWxpbmVfMV92MREAdf4HAA%3D%3D&_nc_rid=14e8118d12&oe=60232D51&oh=e985248c0cf3d8bbc5bdc22b183716cf,188207.0,[]
80,2020-08-30 16:58:37,159,50579,In my new YouTube video I attempt to reveal the true BTS of the luxury travel you see here on Instagram... and how the heck we managed to spend the past 5 years traveling the world. Link in my bio to watch,[],,CEhxgs3Du1L,,,['zackkalter']
81,2020-08-28 18:03:58,244,50433,It’s getting to that point when you realize you’re running out of summer so you try to cram in last minute activities to make the most of it before you have to put clothes on again,[],,CEcvZmBDG2d,,,[]
82,2020-08-26 16:35:42,320,64227,If we got a dollar every time someone asked if we are related...,[],,CEXbtUUjw3A,,,"['alyssalynch', 'whitneyfransway']"
83,2020-08-25 20:21:13,305,53638,Just made a blog post on our recent trip to Cabo! 🐚 HELENOWEN.BLOG (link in my story),[],,CEVQuNyjHSB,,,[]
84,2020-08-23 14:54:03,223,55477,"Vicariously reliving this trip over and over via my Cabo vlog, that’s why people do Youtube right? We had such an incredible time on this campaign with @routeapp. All epic campaigns in exotic locations aside, Route is the app that I use to track and insure all my (hundreds) of online orders, if you have the app then you know. But there is so much more in the works for Route and I can’t wait to see it all unfold! PS click the link in my bio to watch my Cabo vlog!!!",[],,CEPhsNfjgpr,,,['routeapp']
85,2020-08-22 19:02:47,178,64085,"We’ve been on so many trips and shared so many travel photos, but we’ve never filmed and shared an entire trip on video... until now! I vlogged our recent trip to Cabo and just posted it! (link in bio)",[],,CENZXHQjVmF,,,['zackkalter']
86,2020-08-21 14:30:02,263,54971,SPF as high as my enthusiasm 🧴,[],"Santa Barbara, California",CEKVWhjjQOK,,,[]
87,2020-08-20 18:26:52,171,38211,24 hours in Santa Barbara well spent 🏨🍋 @hotelcalifornian,[],"Santa Barbara, California",CEILqVTji1t,,,"['beginningboutique', 'hotelcalifornian']"
88,2020-08-15 16:38:37,107,29570,I convinced @zackkalter to film a Q&A with me for my YouTube channel... and just posted it. So PLEASE GO WATCH (link in my bio),[],,CD7HTGzjn1U,,,['zackkalter']
89,2020-08-14 16:24:09,206,42898,Friday face 😙,[],,CD4g2M3j_-v,,,[]
90,2020-08-12 16:20:08,162,36603,"I discovered @pvolve at a time when the idea of “working out” was just too daunting, and honestly involved too much jumping around. P.volve made me fall in love with moving my body and the results I saw kept me coming back to these classes (I’ve been doing it for 3 years now!). P.volve involves precise movements that fire up muscles you forgot you even had through focused muscle activation low impact workouts. Highly recommend for anyone who wants something effective, minus all the jumping jacks and burpees. 🍑 if you wanna try, use code: HELEN for 15% off #pvolvepartner",['pvolvepartner'],"West Hollywood, California",CDzWzGSj7BC,,,['pvolve']
91,2020-08-11 17:06:09,301,61134,Not ready to leave but at least I get to relive this trip in vlog form soon... and so do you if you’re subscribed to my ‘tube... wink wink nudge nudge 🐚 (link in bio),[],"Cabo San Lucas, Baja California Sur",CDw3RQFDTgi,,,['onia']
92,2020-08-10 22:29:16,168,40189,This should do the trick 🌊🌛 @esperanzaresort #alwaysauberge,['alwaysauberge'],"Esperanza, Auberge Resorts Collection",CDu3c-Rj3h_,,,"['mondayswimwear', 'esperanzaresort']"
93,2020-08-09 18:28:36,195,48143,Swipe for a more accurate depiction of our afternoon here at @esperanzaresort 🌮 #alwaysauberge,['alwaysauberge'],"Esperanza, Auberge Resorts Collection",CDr3HbyjAI7,,,"['onia', 'esperanzaresort']"
94,2020-08-08 16:16:28,1120,94589,"This is me today. Only minimal makeup, unedited, and feeling more like me than I can remember feeling in a while. Swipe to see a different me, only a few months ago, feeling discouraged and helpless and covered in acne. To see how I got from there to here, and all the difficult moments in between, click the link in my bio to watch my newest YouTube video about my skin",[],,CDpDMuwD2sL,,,[]
95,2020-08-07 14:30:15,225,49980,Triple shot of sunshine 🔅,[],"Cabo San Lucas, Baja California Sur",CDmSP4UD7p9,,,"['solidandstriped', 'thecapehotel']"
96,2020-08-06 13:09:41,76,27020,Best seat in the house 🌊,[],"Cabo San Lucas, Baja California Sur",CDjkO7iDPv9,,,"['zackkalter', 'onia']"
97,2020-08-05 19:46:17,255,41652,This place is even more beautiful than I remember 🗺,[],"Cabo San Lucas, Baja California Sur",CDhs06TDsp2,,,['solidandstriped']
98,2020-08-01 22:37:08,160,63181,I put my first YouTube video out on the world wide web today! Including a little recap of how the heck I ended up traveling the world with this guy ⛱ link in bio!,[],,CDXtMpfDt3-,,,['zackkalter']
99,2020-07-31 23:08:26,336,51628,Hi. I STARTED A YOUTUBE CHANNEL! Please tap the link in my bio to subscribe because.... I’m posting my first video tomorrow 😝,[],,CDVL_BhDpmy,,,['mondayswimwear']
